Product,Product_Type
Kwik Seal Fine,Lost Circulation Material 
Kwik Seal Medium,Lost Circulation Material 
Lignite,Thinners/Dispersant
Lignite / Humalite,Thinners/Dispersant
Lime,Alkalinity Control
Lime (Hydrated),Alkalinity Control
Lime (Processed),Alkalinity Control
Lime Hydrated (22.68Kg),Alkalinity Control
Lime Hydrated (22.68kg),Alkalinity Control
Ltr (Dicorp Cementing),Cementing Chemical
Lubraglide Beads C,Lubricant
Lubraglide Beads F,Lubricant
Lubra-Glide Beads Fine,Lubricant
Lubra-Glide Beads Medium,Lubricant
Lubra-Glide C,Lubricant
Lubra-Glide F,Lubricant
Lubrica,Lubricant
Lurex,Anti-Accretion Polymer
Lurex Tl,Anti-Accretion Polymer
Magma Fiber,Lost Circulation Material 
Magma Fiber Fine,Lost Circulation Material 
Magnesium Oxide,Alkalinity Control
Magnesium Oxide 30,Alkalinity Control
Marabond 21,Cementing Chemical
Maxiseal,Lost Circulation Material 
Melflux Liquiment 1641 F,Cementing Chemical
Melflux Liquiment 5581,Cementing Chemical
Metso Beads 2048,Cementing Chemical
Mica C,Lost Circulation Material 
Mica F,Lost Circulation Material 
Mica Fine,Lost Circulation Material 
Mica M,Lost Circulation Material 
Mica Medium,Lost Circulation Material 
Millzan D,Viscosifiers
Mmh,Viscosifiers
Modified Starch,Filtrate Reducer
"Monofilament Fibre 1/2""",Lost Circulation Material 
Myacide Ga25,Bactericides
Myacide Ga-25,Bactericides
Natrasol Hi Vis 4465 (Hec),Filtrate Reducer
Natural Gel,Viscosifiers
Natural Gel (Premium Gel Nt),Viscosifiers
Nut Shell C,Lubricant
Nut Shell C/M/F,Lubricant
Nut Shell F,Lubricant
Nut Shell M,Lubricant
Ogc-60,Cementing Chemical
Oilgel 3000,Viscosifiers
Oilwell G Cement,Viscosifiers
Oilwet,Wetter
Omd,Wetter
Orion S,Polymer Breaker
Pac LV,Filtrate Reducer
Petro-Glide,Lubricant
Petro-Mod,Viscosifiers
Petro-Mul,Emulsifier
Petro-Tone,Viscosifiers
Petro-Wet,Wetter
Pipeout,Surfactant
Plug Sand 8/16 Mesh,Cementing Chemical
Pnp Emulsion Breaker,Solvent
Poly-Xan,Viscosifiers
Poly-Xan L,Viscosifiers
Potash,Shale Inhibitor
Potassium Carbonate,Calcium Remover
Potassium Silicate,Shale Inhibitor
Potassium Sulphate,Shale Inhibitor
Power Clean,Surfactant
Prima-Seal (C/M),Lost Circulation Material 
Prima-Seal Coarse,Lost Circulation Material 
Prima-Seal Medium,Lost Circulation Material 
Primo Ssu,Filtrate Reducer
Radiagreen Ebl (7587),Lubricant
